,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2023-01-01 00:00:00+01:00,26.39,-7.0,8.79,-6.2,6.75,186.8,61.8,126.2,-5.05,,0,2.01
2023-01-01 01:00:00+01:00,7.0,-10.04,5.0,-10.04,2.05,224.8,40.4,193.1,-3.14,,1,1.38
2023-01-01 02:00:00+01:00,0.8,-21.0,-20.0,-2.4,-8.44,102.7,30.4,90.6,-7.56,,2,0.09
2023-01-01 03:00:00+01:00,4.85,-20.0,-20.0,-5.5,-4.68,95.3,46.3,49.0,-5.48,,3,0.08
2023-01-01 04:00:00+01:00,4.0,-20.0,-10.0,-2.45,-8.34,202.1,33.2,168.9,-6.6,,4,0.05
2023-01-01 05:00:00+01:00,1.0,-20.0,-7.0,-6.0,-8.7,177.9,11.9,166.0,-5.31,,5,0.08
2023-01-01 06:00:00+01:00,5.69,-7.4,0.04,-2.0,-1.77,126.6,15.3,116.3,-2.41,,6,0.09
2023-01-01 07:00:00+01:00,6.12,-6.5,2.8,-1.0,-2.3,110.7,19.2,91.5,-3.04,,7,0.53
2023-01-01 08:00:00+01:00,6.73,-4.89,2.44,-1.4,-1.39,106.1,10.3,95.9,-1.81,,8,2.03
2023-01-01 09:00:00+01:00,1.0,-5.01,1.0,-3.01,-2.34,162.1,15.3,146.8,-2.47,,9,3.1
2023-01-01 10:00:00+01:00,8.99,-4.11,8.95,-3.92,-2.42,162.1,63.2,102.6,-2.55,,10,4.43
2023-01-01 11:00:00+01:00,4.0,-3.5,4.0,-3.5,-1.23,206.8,94.4,152.7,-1.55,,11,6.06
2023-01-01 12:00:00+01:00,5.95,-12.99,1.4,-3.05,-3.12,191.5,68.4,140.1,-4.95,,12,6.06
2023-01-01 13:00:00+01:00,4.59,-16.24,2.5,-14.24,-1.4,170.5,62.7,134.4,-4.32,,13,5.68
2023-01-01 14:00:00+01:00,17.64,-6.85,3.8,-0.53,1.96,235.2,90.5,160.5,-2.73,,14,17.71
2023-01-01 15:00:00+01:00,36.2,10.02,23.67,32.0,25.53,270.3,18.3,260.4,24.66,,15,24.11
2023-01-01 16:00:00+01:00,59.47,28.12,35.59,54.2,40.25,401.4,57.5,347.9,46.23,,16,36.54
2023-01-01 17:00:00+01:00,83.0,33.0,57.8,46.04,54.27,562.0,119.8,456.4,60.31,,17,46.03
2023-01-01 18:00:00+01:00,71.7,19.0,71.7,40.0,40.58,500.5,133.2,429.1,38.57,,18,55.57
2023-01-01 19:00:00+01:00,63.86,30.0,55.0,53.63,43.52,573.8,239.6,391.0,43.44,,19,54.95
2023-01-01 20:00:00+01:00,68.1,20.25,45.35,46.0,46.41,503.0,272.7,321.7,47.1,,20,49.23
2023-01-01 21:00:00+01:00,78.71,19.0,40.9,41.79,51.3,629.4,258.0,442.4,47.96,,21,44.99
2023-01-01 22:00:00+01:00,84.85,11.6,67.5,17.5,42.82,537.2,222.9,427.4,37.09,,22,45.96
2023-01-01 23:00:00+01:00,71.0,19.0,34.0,30.0,53.82,507.8,120.4,403.0,38.25,,23,35.0
2023-01-02 00:00:00+01:00,62.93,30.01,62.93,43.18,49.35,85.0,48.5,44.5,40.61,,0,57.91
2023-01-02 01:00:00+01:00,57.0,25.47,52.35,29.49,41.91,159.7,76.1,83.6,34.1,,1,51.67
2023-01-02 02:00:00+01:00,69.51,5.7,52.86,12.18,27.93,113.2,72.5,42.2,23.43,,2,52.86
2023-01-02 03:00:00+01:00,51.0,9.67,41.51,33.15,35.06,210.0,106.8,120.2,16.53,,3,44.16
2023-01-02 04:00:00+01:00,60.33,27.03,50.08,52.0,50.03,169.9,75.3,118.0,48.88,,4,50.08
2023-01-02 05:00:00+01:00,68.85,35.01,65.75,60.0,51.46,188.5,31.8,156.7,50.1,,5,70.73
2023-01-02 06:00:00+01:00,94.96,58.0,93.39,58.0,80.12,134.4,22.4,112.4,74.72,,6,104.08
2023-01-02 07:00:00+01:00,146.1,87.99,146.1,87.99,103.13,207.7,39.1,168.6,98.56,,7,140.64
2023-01-02 08:00:00+01:00,145.97,92.0,145.97,94.08,111.29,237.8,36.9,202.2,100.58,,8,145.98
2023-01-02 09:00:00+01:00,147.05,102.0,147.05,102.1,114.29,278.4,156.7,126.0,106.41,,9,147.05
2023-01-02 10:00:00+01:00,145.61,103.27,145.61,107.14,119.79,371.7,176.8,199.3,113.75,,10,145.61
2023-01-02 11:00:00+01:00,143.35,109.7,143.35,139.91,123.41,546.7,126.8,436.3,120.95,,11,143.35
2023-01-02 12:00:00+01:00,144.38,114.39,144.38,137.01,126.06,328.4,25.8,303.0,123.73,,12,144.38
2023-01-02 13:00:00+01:00,143.76,108.97,143.76,117.0,124.61,367.5,90.3,282.3,120.11,,13,143.76
2023-01-02 14:00:00+01:00,148.19,120.09,148.19,132.0,132.58,331.6,52.8,285.7,127.05,,14,148.2
2023-01-02 15:00:00+01:00,155.34,135.03,155.34,153.66,144.52,277.1,56.3,220.8,145.02,,15,155.34
2023-01-02 16:00:00+01:00,158.91,137.6,155.37,143.11,148.42,442.4,173.1,289.9,147.25,,16,162.89
2023-01-02 17:00:00+01:00,170.0,140.2,153.5,164.8,159.18,303.4,74.0,242.4,164.23,,17,170.0
2023-01-02 18:00:00+01:00,176.1,149.7,174.6,176.04,166.21,302.5,108.4,194.1,167.81,,18,174.74
2023-01-02 19:00:00+01:00,169.46,136.0,153.4,145.17,158.01,509.0,143.7,367.2,158.93,,19,164.46
2023-01-02 20:00:00+01:00,159.85,120.0,137.9,142.99,147.11,534.6,132.8,462.0,146.12,,20,153.0
2023-01-02 21:00:00+01:00,141.5,104.33,141.5,110.0,127.46,446.7,59.8,396.7,123.67,,21,141.67
2023-01-02 22:00:00+01:00,134.44,83.01,130.03,92.0,105.46,495.0,82.9,425.6,100.78,,22,131.67
2023-01-02 23:00:00+01:00,113.92,79.71,113.85,84.0,90.92,643.9,294.9,413.5,85.83,,23,118.06
2023-01-03 00:00:00+01:00,105.52,39.5,73.0,39.7,74.91,178.3,73.3,107.0,68.5,,0,78.81
2023-01-03 01:00:00+01:00,99.66,45.71,99.66,51.33,70.83,119.2,28.0,96.8,62.04,,1,73.93
2023-01-03 02:00:00+01:00,90.82,53.9,90.82,69.0,70.34,216.6,79.6,148.4,70.55,,2,73.94
2023-01-03 03:00:00+01:00,98.1,60.06,98.1,85.0,75.31,223.7,87.8,154.3,79.53,,3,71.44
2023-01-03 04:00:00+01:00,101.11,62.12,94.5,72.33,80.58,278.7,168.7,133.1,79.93,,4,72.33
2023-01-03 05:00:00+01:00,101.19,66.6,100.79,85.0,83.08,324.8,193.7,161.3,81.53,,5,77.14
2023-01-03 06:00:00+01:00,140.7,96.5,126.25,97.48,108.01,421.4,275.5,165.4,102.88,,6,102.48
2023-01-03 07:00:00+01:00,180.13,151.2,166.8,171.94,171.21,168.4,132.7,36.5,172.37,,7,154.96
2023-01-03 08:00:00+01:00,199.75,175.23,175.23,190.01,185.24,110.2,36.6,79.5,186.77,,8,163.92
2023-01-03 09:00:00+01:00,187.67,160.32,175.17,170.56,174.79,146.6,31.6,115.5,176.28,,9,167.07
2023-01-03 10:00:00+01:00,188.9,166.0,177.71,170.32,174.64,165.6,99.5,67.1,172.89,,10,168.57
2023-01-03 11:00:00+01:00,183.16,160.0,177.5,162.5,169.01,90.2,45.2,45.0,167.71,,11,169.49
2023-01-03 12:00:00+01:00,177.98,164.5,172.5,177.98,170.63,119.1,109.8,9.6,170.52,,12,164.5
2023-01-03 13:00:00+01:00,178.4,162.64,170.75,175.59,174.12,77.9,60.8,17.1,176.18,,13,160.91
2023-01-03 14:00:00+01:00,192.53,162.0,171.4,190.0,178.53,121.9,84.4,37.5,184.76,,14,163.06
2023-01-03 15:00:00+01:00,191.91,168.1,178.29,182.0,180.37,160.5,122.1,38.4,185.82,,15,167.73
2023-01-03 16:00:00+01:00,189.88,167.05,172.7,183.83,179.73,137.4,92.7,44.7,186.25,,16,166.61
2023-01-03 17:00:00+01:00,192.11,171.6,178.21,187.88,183.09,117.1,79.9,37.2,187.97,,17,170.72
2023-01-03 18:00:00+01:00,208.29,166.76,173.3,207.01,182.08,223.4,164.4,59.0,189.77,,18,168.93
2023-01-03 19:00:00+01:00,189.12,157.71,158.26,185.45,174.76,250.9,173.5,103.1,179.95,,19,160.99
2023-01-03 20:00:00+01:00,165.28,144.41,154.81,145.6,154.03,254.8,166.5,88.4,153.24,,20,149.62
2023-01-03 21:00:00+01:00,150.99,120.0,133.8,137.6,137.29,469.0,297.2,205.3,134.17,,21,131.05
2023-01-03 22:00:00+01:00,130.5,94.27,115.5,106.95,109.64,635.5,495.8,245.8,102.72,,22,114.27
2023-01-03 23:00:00+01:00,112.08,63.0,95.0,77.47,89.53,626.7,291.9,334.8,81.19,,23,93.66
2023-01-04 00:00:00+01:00,93.73,82.88,83.24,90.99,85.68,39.9,25.8,14.1,86.22,,0,82.88
